,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_statement,evaluation_output
16,Finnish Aktia Group 's operating profit [[rose]] to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,Finnish Aktia Group 's operating profit [[hikes]] to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,0.0006313920021057,0.5536561608314514,2,0,2,67,Successful,Finnish Aktia Group 's operating profit hikes to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,0
17,"Finnish high technology provider Vaahto Group reports net [[sales]] of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an [[increase]] of 11.2 % from a year earlier .","Finnish high technology provider Vaahto Group reports net [[soiled]] of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an [[hiked]] of 11.2 % from a year earlier .",0.0006898641586303,0.9977826476097108,2,0,2,96,Successful,"Finnish high technology provider Vaahto Group reports net soiled of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an hiked of 11.2 % from a year earlier .",0
18,Biohit already services many current Genesis customers and the customer base is expected to [[expand]] as a result of this agreement .,Biohit already services many current Genesis customers and the customer base is expected to [[enlargements]] as a result of this agreement .,0.0007159113883972,0.7253860235214233,2,1,2,63,Successful,Biohit already services many current Genesis customers and the customer base is expected to enlargements as a result of this agreement .,1
19,Circulation revenue has [[increased]] by 5 % in Finland and 4 % in Sweden in 2008 .,Circulation revenue has [[hikes]] by 5 % in Finland and 4 % in Sweden in 2008 .,0.000552475452423,0.9637876749038696,2,0,2,59,Successful,Circulation revenue has hikes by 5 % in Finland and 4 % in Sweden in 2008 .,0
20,"[[In]] 2009 , Fiskars ' [[cash]] [[flow]] from [[operating]] [[activities]] [[amounted]] to EUR121m , up from EUR97m in the [[previous]] [[year]] .","[[At]] 2009 , Fiskars ' [[treasurer]] [[drain]] from [[labor]] [[jobs]] [[totals]] to EUR121m , up from EUR97m in the [[longtime]] [[anno]] .",0.0005592703819274,0.9503923058509828,2,0,2,194,Successful,"At 2009 , Fiskars ' treasurer drain from labor jobs totals to EUR121m , up from EUR97m in the longtime anno .",0
21,Operating [[profit]] [[margin]] [[increased]] from 11.2 % to 11.7 % .,Operating [[salaries]] [[boardroom]] [[hiked]] from 11.2 % to 11.7 % .,0.0005803108215332,0.9974878430366516,2,0,2,113,Successful,Operating salaries boardroom hiked from 11.2 % to 11.7 % .,0
22,"The circuit 's overall [[production]] rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in [[excess]] of 50,000 tonnes per day being [[reached]] on [[individual]] days .","The circuit 's overall [[fabricating]] rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in [[overage]] of 50,000 tonnes per day being [[counted]] on [[peculiar]] days .",0.0006396174430847,0.8399839401245117,2,0,2,135,Successful,"The circuit 's overall fabricating rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in overage of 50,000 tonnes per day being counted on peculiar days .",0
23,"The last quarter was the best [[quarter]] of 2009 in net [[sales]] , and the [[operating]] margin [[rose]] to 12.2 % .","The last quarter was the best [[semesters]] of 2009 in net [[soiled]] , and the [[workplace]] margin [[hiked]] to 12.2 % .",0.0005260109901428,0.9400628209114076,2,0,2,121,Successful,"The last quarter was the best semesters of 2009 in net soiled , and the workplace margin hiked to 12.2 % .",0
24,"The transaction [[doubles]] Tecnomens workforse , and adds a fourth to their net sales .","The transaction [[doppelganger]] Tecnomens workforse , and adds a fourth to their net sales .",0.0006594061851501,0.9985130429267884,2,1,2,30,Successful,"The transaction doppelganger Tecnomens workforse , and adds a fourth to their net sales .",1
25,"`` The priority for 2009 was to [[strengthen]] the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .","`` The priority for 2009 was to [[promoting]] the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",0.001566469669342,0.8984001874923706,2,1,2,66,Successful,"`` The priority for 2009 was to promoting the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",1
26,"A [[structures]] BIM ( building information [[modeling]] ) software from Tekla , a model-based software provider , has been adopted for the construction [[management]] and [[delivery]] of a university [[project]] in [[Abu]] Dhabi .","A [[reconstructions]] BIM ( building information [[idealized]] ) software from Tekla , a model-based software provider , has been adopted for the construction [[leadership]] and [[delivering]] of a university [[proposition]] in [[Babu]] Dhabi .",0.0007021427154541,0.8356161117553711,1,2,1,160,Successful,"A reconstructions BIM ( building information idealized ) software from Tekla , a model-based software provider , has been adopted for the construction leadership and delivering of a university proposition in Babu Dhabi .",2
27,"According to Finnish Metso Minerals , the value of the company 's orders has [[gone]] up to EUR 1.9 bn in 12 months .","According to Finnish Metso Minerals , the value of the company 's orders has [[dissipated]] up to EUR 1.9 bn in 12 months .",0.0006653666496276,0.996239960193634,2,0,2,43,Successful,"According to Finnish Metso Minerals , the value of the company 's orders has dissipated up to EUR 1.9 bn in 12 months .",0
28,Finnish forest machinery manufacturer Ponsse 's net sales [[grew]] to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,Finnish forest machinery manufacturer Ponsse 's net sales [[hiked]] to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,0.0006101131439208,0.9843904376029968,2,0,2,70,Successful,Finnish forest machinery manufacturer Ponsse 's net sales hiked to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,0
29,Finnish KCI Konecranes has raised its net [[sales]] [[growth]] estimate for 2006 from over 25 % to over 35 % .,Finnish KCI Konecranes has raised its net [[sordid]] [[surging]] estimate for 2006 from over 25 % to over 35 % .,0.0008367300033569,0.9034363627433776,2,0,2,66,Successful,Finnish KCI Konecranes has raised its net sordid surging estimate for 2006 from over 25 % to over 35 % .,0
30,Finnish pharmaceuticals company Orion 's net sales [[rose]] to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,Finnish pharmaceuticals company Orion 's net sales [[hikes]] to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,0.0006418824195861,0.9972983598709106,2,0,2,66,Successful,Finnish pharmaceuticals company Orion 's net sales hikes to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,0
31,"Again , the most significant sales [[increase]] of 18.6 % was in Russia .","Again , the most significant sales [[enlarge]] of 18.6 % was in Russia .",0.0008410215377807,0.9969956278800964,2,1,2,58,Successful,"Again , the most significant sales enlarge of 18.6 % was in Russia .",1
32,Also Lemmink+ñinen 's profit for accounting period [[went]] up to EUR 3.1 mn from EUR -24.5 mn a year ago .,Also Lemmink+ñinen 's profit for accounting period [[disappeared]] up to EUR 3.1 mn from EUR -24.5 mn a year ago .,0.0005616545677185,0.9988195300102234,2,0,2,47,Successful,Also Lemmink+ñinen 's profit for accounting period disappeared up to EUR 3.1 mn from EUR -24.5 mn a year ago .,0
33,"Besides we have [[increased]] the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .","Besides we have [[rises]] the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",0.0006735324859619,0.6668871641159058,2,1,2,68,Successful,"Besides we have rises the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",1
34,"Both operating profit and net sales for the three-month period [[increased]] , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .","Both operating profit and net sales for the three-month period [[hiked]] , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",0.000597596168518,0.97223699092865,2,0,2,67,Successful,"Both operating profit and net sales for the three-month period hiked , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",0
35,[[Diluted]] earnings per share ( EPS ) [[rose]] to EUR 3.68 from EUR 0.50 .,[[Weakened]] earnings per share ( EPS ) [[rosas]] to EUR 3.68 from EUR 0.50 .,0.0007141232490539,0.9986168742179872,2,0,2,70,Successful,Weakened earnings per share ( EPS ) rosas to EUR 3.68 from EUR 0.50 .,0
36,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net [[profit]] [[rose]] to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net [[wages]] [[hike]] to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,0.0005506873130798,0.7042461037635803,2,0,2,129,Successful,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net wages hike to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,0
37,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an [[increase]] of 10.8 pct year-on-year .","HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an [[soars]] of 10.8 pct year-on-year .",0.0006009340286254,0.7954840660095215,2,1,2,70,Successful,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an soars of 10.8 pct year-on-year .",1
38,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an [[increase]] of 1.9 [[percent]] from the sales of 19.92 million liters in December 2004 .","In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an [[enlarge]] of 1.9 [[proportion]] from the sales of 19.92 million liters in December 2004 .",0.0008862614631652,0.6607829332351685,2,1,2,88,Successful,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an enlarge of 1.9 proportion from the sales of 19.92 million liters in December 2004 .",1
39,"[[In]] Sweden , operating [[profit]] for the [[period]] under [[review]] [[totaled]] EUR 3.4 [[mn]] , up 30.8 % from the [[corresponding]] [[period]] in 2005 .","[[Of]] Sweden , operating [[earns]] for the [[delays]] under [[considering]] [[totals]] EUR 3.4 [[minneapolis]] , up 30.8 % from the [[related]] [[date]] in 2005 .",0.0006101131439208,0.0014735460281372,2,2,2,314,Failed,"Of Sweden , operating earns for the delays under considering totals EUR 3.4 minneapolis , up 30.8 % from the related date in 2005 .",2
40,"In the second quarter of 2010 , the group 's net profit [[rose]] to EUR 3.1 million from EUR 2.5 million in April-June 2009 .","In the second quarter of 2010 , the group 's net profit [[hikes]] to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",0.0005816221237182,0.8878281116485596,2,0,2,69,Successful,"In the second quarter of 2010 , the group 's net profit hikes to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",0
41,Its market share [[widened]] to 48.51 percent from 48.31 percent a year earlier .,Its market share [[prolonging]] to 48.51 percent from 48.31 percent a year earlier .,0.0005251765251159,0.9979889988899232,2,0,2,61,Successful,Its market share prolonging to 48.51 percent from 48.31 percent a year earlier .,0
42,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit [[rose]] to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .","( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit [[hikes]] to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",0.0005555748939514,0.9980143904685974,2,0,2,82,Successful,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit hikes to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",0
43,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit [[rose]] to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .","( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit [[hikes]] to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",0.0005679726600646,0.8635929226875305,2,0,2,82,Successful,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit hikes to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",0
44,"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit [[rose]] to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s","( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit [[hikes]] to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",0.0005671381950378,0.9584046006202698,2,0,2,81,Successful,"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit hikes to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",0
45,Net interest income [[increased]] by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,Net interest income [[hikes]] by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,0.0006041526794433,0.5926748514175415,2,0,2,65,Successful,Net interest income hikes by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,0
46,Operating [[income]] [[rose]] to EUR 696.4 mn from EUR 600.3 mn in 2009 .,Operating [[revenues]] [[hiked]] to EUR 696.4 mn from EUR 600.3 mn in 2009 .,0.0006666779518127,0.9563179612159728,2,0,2,91,Successful,Operating revenues hiked to EUR 696.4 mn from EUR 600.3 mn in 2009 .,0
47,Operating [[profit]] [[rose]] to EUR 13.5 mn from [[EUR]] 9.7 mn in the [[corresponding]] [[period]] in 2006 .,Operating [[profits]] [[hiked]] to EUR 13.5 mn from [[EURO]] 9.7 mn in the [[equalize]] [[tiempo]] in 2006 .,0.000634491443634,0.7530311942100525,2,0,2,198,Successful,Operating profits hiked to EUR 13.5 mn from EURO 9.7 mn in the equalize tiempo in 2006 .,0
48,Operating [[profit]] [[rose]] to EUR 4.7 mn from EUR 4.6 mn .,Operating [[salaries]] [[hiked]] to EUR 4.7 mn from EUR 4.6 mn .,0.0006963014602661,0.996247410774231,2,0,2,116,Successful,Operating salaries hiked to EUR 4.7 mn from EUR 4.6 mn .,0
49,"Operating [[profit]] [[totaled]] EUR 37,7 [[mn]] , up [[slightly]] from EUR 37.2 mn in the [[corresponding]] period in 2006 .","Operating [[salaries]] [[totals]] EUR 37,7 [[minneapolis]] , up [[lesser]] from EUR 37.2 mn in the [[coincide]] period in 2006 .",0.000612735748291,0.8901976943016052,2,0,2,159,Successful,"Operating salaries totals EUR 37,7 minneapolis , up lesser from EUR 37.2 mn in the coincide period in 2006 .",0
50,Orion Pharma 's operating profit [[increased]] by 42.5 % from 2004 .,Orion Pharma 's operating profit [[hiked]] by 42.5 % from 2004 .,0.0005611777305603,0.9969878196716307,2,0,2,58,Successful,Orion Pharma 's operating profit hiked by 42.5 % from 2004 .,0
51,"Press release 9 October 2009 Ruukki has [[signed]] a [[contract]] to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .","Press release 9 October 2009 Ruukki has [[sign]] a [[outsourcing]] to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",0.0007403492927551,0.906792163848877,2,1,2,74,Successful,"Press release 9 October 2009 Ruukki has sign a outsourcing to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",1
52,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , [[posted]] a 6.1 [[percent]] [[growth]] in beer [[sales]] for January-September to 101.99 million liters .","Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , [[published]] a 6.1 [[percentage]] [[augment]] in beer [[squalid]] for January-September to 101.99 million liters .",0.0005313754081726,0.8446916937828064,2,1,2,131,Successful,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , published a 6.1 percentage augment in beer squalid for January-September to 101.99 million liters .",1
53,"The [[company]] 's [[operating]] [[income]] ( EBIT ) [[totalled]] EUR 0.0 mn , up from EUR -0.3 [[mn]] year-on-year .","The [[businessmen]] 's [[jobs]] [[receipt]] ( EBIT ) [[totals]] EUR 0.0 mn , up from EUR -0.3 [[minneapolis]] year-on-year .",0.0006000995635986,0.0007839202880859,2,2,2,129,Failed,"The businessmen 's jobs receipt ( EBIT ) totals EUR 0.0 mn , up from EUR -0.3 minneapolis year-on-year .",2
54,"The Finnish government announced Wednesday that it sold a 32 percent stake in [[chemicals]] and fertilizer [[group]] Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , [[sending]] the [[company]] 's [[share]] price up 6 percent .","The Finnish government announced Wednesday that it sold a 32 percent stake in [[chemists]] and fertilizer [[associations]] Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , [[despatch]] the [[undertaking]] 's [[swapped]] price up 6 percent .",0.0004911422729492,0.7599537372589111,2,1,2,182,Successful,"The Finnish government announced Wednesday that it sold a 32 percent stake in chemists and fertilizer associations Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , despatch the undertaking 's swapped price up 6 percent .",1
55,The [[stock]] [[rose]] for a [[second]] [[day]] on Wednesday [[bringing]] its two-day rise to GBX12 .0 or 2.0 % .,The [[inventory]] [[edged]] for a [[minute]] [[today]] on Wednesday [[render]] its two-day rise to GBX12 .0 or 2.0 % .,0.0005824565887451,0.7823036313056946,2,0,2,113,Successful,The inventory edged for a minute today on Wednesday render its two-day rise to GBX12 .0 or 2.0 % .,0
56,"There has been some recovery of the base metals prices and [[increased]] demand for metals in China , however .","There has been some recovery of the base metals prices and [[hiked]] demand for metals in China , however .",0.0010440349578857,0.991287112236023,2,0,2,33,Successful,"There has been some recovery of the base metals prices and hiked demand for metals in China , however .",0
57,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now [[extend]] these services to its customers .","TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now [[prolong]] these services to its customers .",0.0005635619163513,0.9990711212158204,2,0,2,68,Successful,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now prolong these services to its customers .",0
58,Vacon 's [[cash]] flow from [[operations]] [[grew]] to EUR 37.1 mn from EUR 21.9 [[mn]] a year [[ago]] .,Vacon 's [[financials]] flow from [[operating]] [[hiked]] to EUR 37.1 mn from EUR 21.9 [[minneapolis]] a year [[formerly]] .,0.0005761384963989,0.9603900909423828,2,0,2,149,Successful,Vacon 's financials flow from operating hiked to EUR 37.1 mn from EUR 21.9 minneapolis a year formerly .,0
59,Vacon will supply [[drives]] to Ruselprom in the power [[range]] from 200 kW up to 2 MW .,Vacon will supply [[motorists]] to Ruselprom in the power [[gamma]] from 200 kW up to 2 MW .,0.0018489956855773,0.9344639778137208,1,2,1,63,Successful,Vacon will supply motorists to Ruselprom in the power gamma from 200 kW up to 2 MW .,2
60,"With the acquisition , the company will [[expand]] its offering to North , Central and South America , it said .","With the acquisition , the company will [[prolong]] its offering to North , Central and South America , it said .",0.000694990158081,0.9987953305244446,2,0,2,62,Successful,"With the acquisition , the company will prolong its offering to North , Central and South America , it said .",0
